,details,prix,etat,marque,adresse,lien_image
0,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
1,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
2,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
3,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
4,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
5,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
6,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
7,MacBook Air m1 8/128,290 000 F Cfa,Venant,Apple,Yoff                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ab5a934c50b0449a5442a15a1b885a/-/horizon-files-prod/ed/picture/qv4w6zn5/0f52ab993f87837b36a5adb36e6acc077c11ef10.jpg
8,Ecran HP 24f – 23.8 pouces,139 998 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a4b62e68e957e4eb908cdf19f245e24/-/horizon-files-prod/ed/picture/qx94mk8/48a47aac6b07aabd98069c05d0624baa981b9ba2.jpg
9,HP ENVY 14 CORE I7 X360,594 900 F Cfa,Neuf,HP,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/936a31d428c33ba3f823f2cd8ae63db6/-/horizon-files-prod/ed/picture/q44nv49m/eec11542928229f926dd9879551502ed44b781c6.jpg
