,details,prix,etat,marque,adresse,lien_image
0,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
1,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
2,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
3,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
4,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
5,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
6,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
7,iPhone 11 simple,155 000 F Cfa,Neuf,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02eb5f7476701c386b00964c74b34f9c/-/horizon-files-prod/ed/picture/q8v42zz7/477050a72882d5fd71a83fcf943a3830faa67b9d.jpg
8,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
9,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
10,iPhone 11 simple,155 000 F Cfa,Neuf,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02eb5f7476701c386b00964c74b34f9c/-/horizon-files-prod/ed/picture/q8v42zz7/477050a72882d5fd71a83fcf943a3830faa67b9d.jpg
11,iPhone 15 plus,530 000 F Cfa,Venant,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/879be8a6ddd20718b05db1ba1ff345b9/-/horizon-files-prod/ed/picture/q44n98d8/5139ddf807df63fb8980379614a91ba96bcc34c4.jpg
12,Honor 90 256Go,200 000 F Cfa,Neuf,Honor,Médina                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afbc99f2177d9c16989b357f0ac86efc/-/horizon-files-prod/ed/picture/q2j09d9j/4c6d832c3cf7ed758c07de47151de83dd55b5839.jpg
13,Samsung galaxy S23 + 256GB 8GB ram 2sim,275 000 F Cfa,Venant,Samsung,Pikine                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
14,iPhone 11 simple,155 000 F Cfa,Neuf,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02eb5f7476701c386b00964c74b34f9c/-/horizon-files-prod/ed/picture/q8v42zz7/477050a72882d5fd71a83fcf943a3830faa67b9d.jpg
15,iPhone 15 plus,530 000 F Cfa,Venant,iPhone,Parcelles Assainies                              Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/879be8a6ddd20718b05db1ba1ff345b9/-/horizon-files-prod/ed/picture/q44n98d8/5139ddf807df63fb8980379614a91ba96bcc34c4.jpg
